hour,updated_type,updated_subtype,lat_long_bin,count
00:00,Accident,Unclassified,"(41.78, -87.66)",1
00:00,Accident,Unclassified,"(41.78, -87.64)",1
00:00,Accident,Unclassified,"(41.78, -87.63)",12
00:00,Accident,Unclassified,"(41.78, -87.62)",1
00:00,Accident,Unclassified,"(41.78, -87.59)",1
00:00,Accident,Unclassified,"(41.78, -87.58)",2
00:00,Accident,Unclassified,"(41.78, -87.57)",2
00:00,Accident,Unclassified,"(41.79, -87.8)",2
00:00,Accident,Unclassified,"(41.79, -87.79)",1
00:00,Accident,Unclassified,"(41.79, -87.74)",1
00:00,Accident,Unclassified,"(41.79, -87.7)",1
00:00,Accident,Unclassified,"(41.79, -87.68)",2
00:00,Accident,Unclassified,"(41.79, -87.66)",1
00:00,Accident,Unclassified,"(41.79, -87.65)",1
00:00,Accident,Unclassified,"(41.79, -87.63)",8
00:00,Accident,Unclassified,"(41.79, -87.62)",1
00:00,Accident,Unclassified,"(41.8, -87.8)",1
00:00,Accident,Unclassified,"(41.8, -87.74)",1
00:00,Accident,Unclassified,"(41.8, -87.72)",3
00:00,Accident,Unclassified,"(41.8, -87.7)",1
00:00,Accident,Unclassified,"(41.8, -87.68)",1
00:00,Accident,Unclassified,"(41.8, -87.63)",6
00:00,Accident,Unclassified,"(41.8, -87.61)",1
00:00,Accident,Unclassified,"(41.8, -87.59)",1
00:00,Accident,Unclassified,"(41.81, -87.75)",4
00:00,Accident,Unclassified,"(41.81, -87.74)",4
00:00,Accident,Unclassified,"(41.81, -87.72)",1
00:00,Accident,Unclassified,"(41.81, -87.71)",1
00:00,Accident,Unclassified,"(41.81, -87.7)",2
00:00,Accident,Unclassified,"(41.81, -87.68)",1
00:00,Accident,Unclassified,"(41.81, -87.67)",3
00:00,Accident,Unclassified,"(41.81, -87.63)",9
00:00,Accident,Unclassified,"(41.81, -87.61)",1
00:00,Accident,Unclassified,"(41.81, -87.6)",2
00:00,Accident,Unclassified,"(41.81, -87.59)",3
00:00,Accident,Unclassified,"(41.81, -87.58)",1
00:00,Accident,Unclassified,"(41.82, -87.74)",7
00:00,Accident,Unclassified,"(41.82, -87.73)",8
00:00,Accident,Unclassified,"(41.82, -87.72)",7
00:00,Accident,Unclassified,"(41.82, -87.69)",1
00:00,Accident,Unclassified,"(41.82, -87.68)",3
00:00,Accident,Unclassified,"(41.82, -87.63)",5
00:00,Accident,Unclassified,"(41.82, -87.61)",1
00:00,Accident,Unclassified,"(41.82, -87.6)",1
00:00,Accident,Unclassified,"(41.83, -87.72)",1
00:00,Accident,Unclassified,"(41.83, -87.71)",3
00:00,Accident,Unclassified,"(41.83, -87.7)",1
00:00,Accident,Unclassified,"(41.83, -87.69)",3
00:00,Accident,Unclassified,"(41.83, -87.68)",1
00:00,Accident,Unclassified,"(41.83, -87.63)",11
00:00,Accident,Unclassified,"(41.83, -87.62)",1
00:00,Accident,Unclassified,"(41.83, -87.61)",2
00:00,Accident,Unclassified,"(41.83, -87.6)",1
00:00,Accident,Unclassified,"(41.84, -87.74)",1
00:00,Accident,Unclassified,"(41.84, -87.7)",1
00:00,Accident,Unclassified,"(41.84, -87.69)",3
00:00,Accident,Unclassified,"(41.84, -87.68)",3
00:00,Accident,Unclassified,"(41.84, -87.67)",2
00:00,Accident,Unclassified,"(41.84, -87.66)",7
00:00,Accident,Unclassified,"(41.84, -87.65)",3
00:00,Accident,Unclassified,"(41.84, -87.63)",10
00:00,Accident,Unclassified,"(41.84, -87.62)",1
00:00,Accident,Unclassified,"(41.85, -87.73)",1
00:00,Accident,Unclassified,"(41.85, -87.69)",2
00:00,Accident,Unclassified,"(41.85, -87.66)",1
